"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"qvalue";"log10P"
"AC145676.1";4,89;-1,23;0,909;-1,35;0,177;0,925;1;0,752
"GRIA4";24,5;0,631;0,467;1,35;0,177;0,925;1;0,752
"RN7SL441P";1,7;1,97;1,46;1,35;0,177;NA;1;0,752
"REN";7,19;1,18;0,877;1,35;0,177;0,925;1;0,752
"APOC4-APOC2";4,68;-1,38;1,02;-1,35;0,177;0,925;1;0,752
"NCBP2";1340;0,234;0,173;1,35;0,177;0,925;1;0,752
"TRIM28";3000;-0,306;0,227;-1,35;0,177;0,925;1;0,752
"CCDC146";314;0,624;0,463;1,35;0,177;0,925;1;0,752
"AL138781.1";8,06;-0,934;0,692;-1,35;0,177;0,925;1;0,752
"AC084117.1";2,85;-1,3;0,96;-1,35;0,177;0,925;1;0,752
"TRNAU1AP";462;-0,365;0,27;-1,35;0,177;0,925;1;0,752
"BEST4";9,6;-0,726;0,538;-1,35;0,177;0,925;1;0,751
"AC096734.1";1,08;-3,06;2,27;-1,35;0,177;NA;1;0,751
"P2RX5-TAX1BP3";162;-0,43;0,319;-1,35;0,177;0,925;1;0,751
"RHOC";3740;-0,462;0,342;-1,35;0,177;0,925;1;0,751
"GSE1";1530;0,442;0,328;1,35;0,177;0,925;1;0,751
"DES";1530;2,12;1,57;1,35;0,177;0,925;1;0,751
"IGLV3-6";3,47;1,99;1,48;1,35;0,177;0,925;1;0,751
"OR2B11";60,2;-0,609;0,452;-1,35;0,178;0,925;1;0,751
"WDR78";51,1;0,505;0,375;1,35;0,178;0,925;1;0,751
"FBXO41";244;-0,43;0,319;-1,35;0,178;0,925;1;0,751
"AC079061.1";4,93;-1,38;1,03;-1,35;0,178;0,925;1;0,751
"TGM7";3,18;2,17;1,61;1,35;0,178;0,925;1;0,751
"AC136443.3";2,72;1,46;1,08;1,35;0,178;NA;1;0,751
"APBA3";540;-0,332;0,246;-1,35;0,178;0,925;1;0,751
"SPON2";864;-0,455;0,337;-1,35;0,178;0,925;1;0,75
"TRAV26-2";1,89;-1,66;1,23;-1,35;0,178;NA;1;0,75
"ADNP-AS1";42,7;0,422;0,313;1,35;0,178;0,926;1;0,75
"AZIN1";2570;0,287;0,213;1,35;0,178;0,926;1;0,75
"SERPINE3";2,97;1,69;1,26;1,35;0,178;0,926;1;0,75
"HTR3A";4,77;-1,19;0,886;-1,35;0,178;0,926;1;0,75
"AC114730.1";2,96;-1,58;1,17;-1,35;0,178;0,926;1;0,75
"WFDC1";697;0,547;0,406;1,35;0,178;0,926;1;0,749
"AC004241.1";33,7;-0,545;0,405;-1,35;0,178;0,926;1;0,749
"PSMA8";4,03;-1,12;0,834;-1,35;0,178;0,926;1;0,749
"TEX54";12,2;0,772;0,573;1,35;0,178;0,926;1;0,749
"AC114271.1";82;-0,486;0,361;-1,35;0,178;0,926;1;0,749
"PRKAR2A";1790;0,473;0,352;1,35;0,178;0,926;1;0,749
"OAS2";1410;0,741;0,55;1,35;0,178;0,926;1;0,749
"CACNA1B";2,71;-1,54;1,14;-1,35;0,178;NA;1;0,749
"ACOXL-AS1";4,39;-1,79;1,33;-1,35;0,178;0,926;1;0,749
"ZNRD1";400;-0,481;0,358;-1,35;0,178;0,926;1;0,749
"CLDN10-AS1";41;0,579;0,43;1,35;0,178;0,926;1;0,749
"C4orf47";23,7;0,502;0,373;1,35;0,178;0,926;1;0,748
"XPOT";2150;0,408;0,304;1,35;0,179;0,926;1;0,748
"AGTR1";65,1;0,586;0,436;1,35;0,179;0,926;1;0,748
"WDR86-AS1";13,8;-0,876;0,651;-1,35;0,179;0,926;1;0,748
"PDCD6IP";2990;0,463;0,344;1,35;0,179;0,926;1;0,748
"IRF3";1770;-0,253;0,188;-1,35;0,179;0,926;1;0,748
"C3orf84";1,65;4,29;3,19;1,34;0,179;NA;1;0,748
"C10orf95";92,1;0,395;0,294;1,34;0,179;0,926;1;0,748
"MRPL4";958;-0,372;0,277;-1,34;0,179;0,926;1;0,748
"PPFIA1";1070;0,319;0,238;1,34;0,179;0,926;1;0,748
"NPY2R";5,48;1,52;1,13;1,34;0,179;0,926;1;0,748
"ST8SIA5";33,6;-1,17;0,871;-1,34;0,179;0,927;1;0,747
"SLF2";700;0,324;0,241;1,34;0,179;0,927;1;0,747
"GRIA1";11,1;-1,35;1;-1,34;0,179;0,927;1;0,747
"AC008056.2";3,73;-2,08;1,55;-1,34;0,179;0,927;1;0,747
"MIF";5590;-0,499;0,372;-1,34;0,179;0,927;1;0,747
"LINC01303";7,04;1,42;1,06;1,34;0,179;0,927;1;0,747
"AL031656.1";0,927;3,33;2,48;1,34;0,179;NA;1;0,747
"TRAV35";1,68;-1,92;1,43;-1,34;0,179;NA;1;0,746
"AC007066.2";64,9;0,5;0,372;1,34;0,179;0,927;1;0,746
"AC036108.3";41,8;0,704;0,525;1,34;0,179;0,927;1;0,746
"ERF";994;-0,529;0,394;-1,34;0,179;0,927;1;0,746
"MAP2K2";2740;-0,348;0,26;-1,34;0,18;0,928;1;0,746
"AL049840.2";59,4;0,696;0,519;1,34;0,18;0,928;1;0,745
"LINC00618";1,65;-2,72;2,03;-1,34;0,18;NA;1;0,745
"AC010226.1";58,6;-0,584;0,435;-1,34;0,18;0,928;1;0,745
"AL031709.1";4,12;2,44;1,82;1,34;0,18;0,928;1;0,745
"AC012313.3";55,1;-0,609;0,454;-1,34;0,18;0,928;1;0,745
"AP000525.1";6,79;-1,24;0,928;-1,34;0,18;0,928;1;0,745
"MSRB1";497;-0,473;0,352;-1,34;0,18;0,928;1;0,745
"MAP4K1";380;-0,465;0,347;-1,34;0,18;0,928;1;0,745
"CLIP3";159;-0,604;0,451;-1,34;0,18;0,928;1;0,745
"LEFTY1";66,5;1,06;0,791;1,34;0,18;0,928;1;0,745
"KCNH8";120;0,474;0,353;1,34;0,18;0,928;1;0,745
"STARD8";178;-0,445;0,332;-1,34;0,18;0,928;1;0,745
"AC096586.1";1;3,22;2,4;1,34;0,18;NA;1;0,744
"C19orf53";1970;-0,498;0,372;-1,34;0,18;0,929;1;0,744
"FTO";973;0,444;0,331;1,34;0,18;0,929;1;0,744
"CNOT11";1060;0,29;0,216;1,34;0,181;0,929;1;0,743
"RCOR3";1050;0,394;0,295;1,34;0,181;0,929;1;0,743
"CIDEC";343;1,43;1,06;1,34;0,181;0,929;1;0,743
"GLIPR1L2";64,8;0,456;0,34;1,34;0,181;0,929;1;0,743
"ALDH6A1";1760;0,407;0,304;1,34;0,181;0,929;1;0,743
"ZFR2";4,5;-1,48;1,11;-1,34;0,181;0,929;1;0,743
"SURF2";412;-0,432;0,322;-1,34;0,181;0,929;1;0,743
"IGHV1-17";5,16;1,55;1,16;1,34;0,181;0,929;1;0,743
"AACS";2670;0,383;0,286;1,34;0,181;0,929;1;0,743
"IGLV1-47";5620;-0,923;0,689;-1,34;0,181;0,929;1;0,743
"NAA10";1160;-0,328;0,245;-1,34;0,181;0,929;1;0,743
"OR1N1";0,804;2,97;2,22;1,34;0,181;NA;1;0,742
"TRAV26-1";4,38;-1,06;0,792;-1,34;0,181;0,929;1;0,742
"SLC4A5";93;0,604;0,451;1,34;0,181;0,929;1;0,742
"MID1IP1";1050;-0,349;0,261;-1,34;0,181;0,929;1;0,742
"FLOT2";2790;-0,331;0,248;-1,34;0,181;0,929;1;0,742
"GNL1";1520;-0,316;0,236;-1,34;0,181;0,929;1;0,742
"TEKT1";1,13;3,23;2,42;1,34;0,181;NA;1;0,742
"RFX1";493;-0,412;0,308;-1,34;0,181;0,929;1;0,742
"CASZ1";1790;0,626;0,468;1,34;0,181;0,929;1;0,742
"NRP2";276;-0,538;0,403;-1,34;0,181;0,929;1;0,742
"SAMD13";129;0,59;0,441;1,34;0,181;0,929;1;0,742
"CYP2J2";992;0,462;0,345;1,34;0,181;0,929;1;0,741
"STAT5A";1040;-0,363;0,271;-1,34;0,181;0,929;1;0,741
"ANKRD29";396;0,307;0,23;1,34;0,181;0,929;1;0,741
"LINC00265";194;0,739;0,553;1,34;0,181;0,929;1;0,741
"SCARA3";1170;-0,461;0,345;-1,34;0,181;0,929;1;0,741
"AC003991.1";104;-0,766;0,573;-1,34;0,182;0,929;1;0,741
"RAB20";368;-0,446;0,334;-1,34;0,182;0,929;1;0,741
"AC015813.2";461;0,462;0,346;1,34;0,182;0,929;1;0,741
"MED12L";34,1;-0,883;0,661;-1,34;0,182;0,929;1;0,741
"AC016717.3";0,793;-2,38;1,78;-1,34;0,182;NA;1;0,74
"AC013403.2";11,8;0,742;0,556;1,33;0,182;0,929;1;0,74
"OXR1";2230;0,537;0,403;1,33;0,182;0,929;1;0,74
"TDGF1";7,82;1;0,752;1,33;0,182;0,929;1;0,74
"NOP53";22000;-0,464;0,347;-1,33;0,182;0,929;1;0,74
"AL031587.3";11,1;-0,774;0,58;-1,33;0,182;0,929;1;0,74
"LINC01709";128;-1,23;0,925;-1,33;0,182;0,929;1;0,74
"NFAT5";1150;0,512;0,383;1,33;0,182;0,929;1;0,74
"RAB8B";607;-0,549;0,411;-1,33;0,182;0,929;1;0,74
"WDR47";266;0,386;0,289;1,33;0,182;0,929;1;0,74
"U52111.1";5,19;-1,17;0,874;-1,33;0,182;0,929;1;0,739
"AC112503.1";2,72;1,94;1,46;1,33;0,182;NA;1;0,739
"LHX2";4,32;-1,32;0,993;-1,33;0,182;0,929;1;0,739
"BX005214.2";2,6;-2,04;1,53;-1,33;0,182;NA;1;0,739
"COPB2";5290;0,416;0,312;1,33;0,182;0,929;1;0,739
"CRYGN";3,11;-1,87;1,4;-1,33;0,182;0,929;1;0,739
"SORBS2";2260;0,373;0,28;1,33;0,182;0,929;1;0,739
"TGM3";178;1,61;1,21;1,33;0,182;0,929;1;0,739
"ZNF507";564;0,547;0,41;1,33;0,182;0,929;1;0,739
"AC004253.1";17,4;0,782;0,587;1,33;0,183;0,929;1;0,739
"AL603756.1";17,1;0,662;0,497;1,33;0,183;0,929;1;0,739
"CDK4";1710;-0,362;0,271;-1,33;0,183;0,929;1;0,739
"FNBP1L";1390;0,435;0,326;1,33;0,183;0,929;1;0,738
"IGKV1-13";49,5;0,998;0,749;1,33;0,183;0,929;1;0,738
"DNAJC12";215;0,58;0,436;1,33;0,183;0,929;1;0,738
"OR2T12";12,7;0,683;0,513;1,33;0,183;0,929;1;0,738
"C4orf48";258;-0,665;0,499;-1,33;0,183;0,929;1;0,738
"CADM4";1150;-0,583;0,438;-1,33;0,183;0,929;1;0,738
"RABGEF1";958;0,233;0,175;1,33;0,183;0,929;1;0,738
"IGFBP6";2260;-0,828;0,622;-1,33;0,183;0,929;1;0,738
"AC092653.1";4,2;1,31;0,981;1,33;0,183;0,929;1;0,738
"TOR1AIP2";1020;0,301;0,226;1,33;0,183;0,929;1;0,738
"FAM13A-AS1";163;0,509;0,382;1,33;0,183;0,929;1;0,738
"AC092881.1";2,87;1,77;1,33;1,33;0,183;0,929;1;0,738
"FOXP1";2930;0,394;0,296;1,33;0,183;0,929;1;0,738
"PCGF6";159;0,315;0,237;1,33;0,183;0,929;1;0,738
"LINC00174";360;0,466;0,35;1,33;0,183;0,929;1;0,737
"PCAT14";101;0,492;0,37;1,33;0,183;0,929;1;0,737
"RALGPS2";780;-0,62;0,466;-1,33;0,183;0,929;1;0,737
"INTS8";656;0,418;0,314;1,33;0,183;0,929;1;0,737
"RHD";407;0,901;0,677;1,33;0,183;0,929;1;0,737
"LINC02340";3,38;-1,4;1,05;-1,33;0,183;0,929;1;0,737
"PCSK2";53,7;0,762;0,572;1,33;0,183;0,929;1;0,737
"CD109";224;0,497;0,373;1,33;0,183;0,929;1;0,737
"CCNC";2710;0,451;0,339;1,33;0,183;0,929;1;0,737
"SRSF1";4250;0,25;0,188;1,33;0,183;0,929;1;0,737
"AL445183.2";4,3;1,27;0,954;1,33;0,183;0,929;1;0,737
"MUSK";5,58;-1,16;0,87;-1,33;0,183;0,929;1;0,737
"PPP1R14A";320;-0,544;0,409;-1,33;0,183;0,929;1;0,736
"HSPB1";6620;-0,464;0,349;-1,33;0,183;0,929;1;0,736
"THAP11";793;-0,387;0,291;-1,33;0,183;0,929;1;0,736
"AC079316.2";8,99;-0,828;0,623;-1,33;0,184;0,929;1;0,736
"AC007750.1";3,27;1,25;0,937;1,33;0,184;0,929;1;0,736
"SIX3";5,31;-0,998;0,751;-1,33;0,184;0,929;1;0,736
"IRX6";76,6;0,66;0,497;1,33;0,184;0,929;1;0,736
"ADORA1";218;0,69;0,519;1,33;0,184;0,929;1;0,736
"ZNF778";365;0,532;0,4;1,33;0,184;0,929;1;0,736
"ABCC2";39,8;-0,738;0,555;-1,33;0,184;0,929;1;0,736
"LINC01055";34,1;1,05;0,786;1,33;0,184;0,929;1;0,736
"C7orf50";2370;-0,472;0,355;-1,33;0,184;0,929;1;0,735
"CCND2";1460;-0,302;0,227;-1,33;0,184;0,929;1;0,735
"AL359762.3";23,8;0,913;0,687;1,33;0,184;0,929;1;0,735
"SCML1";189;0,477;0,359;1,33;0,184;0,929;1;0,735
"EHHADH";303;0,446;0,336;1,33;0,184;0,929;1;0,735
"AC024267.2";0,907;-2,81;2,12;-1,33;0,184;NA;1;0,735
"Z68871.1";11,6;0,739;0,557;1,33;0,184;0,929;1;0,735
"AC016405.3";4,4;-1,09;0,823;-1,33;0,184;0,929;1;0,735
"TMLHE-AS1";8,63;-1,2;0,902;-1,33;0,184;0,929;1;0,735
"ZMPSTE24";1320;0,324;0,244;1,33;0,184;0,929;1;0,734
"TCN2";474;-0,407;0,306;-1,33;0,184;0,929;1;0,734
"HCG25";43,8;-0,639;0,481;-1,33;0,184;0,929;1;0,734
"SLC4A1";20,7;-0,776;0,585;-1,33;0,184;0,929;1;0,734
"AC127496.5";3,91;1,15;0,87;1,33;0,184;0,929;1;0,734
"AL355537.2";1,74;2,56;1,93;1,33;0,185;NA;1;0,734
"GRAP2";163;-0,514;0,387;-1,33;0,185;0,929;1;0,734
"OGFRL1";4980;0,458;0,345;1,33;0,185;0,929;1;0,734
"SEMA4D";1080;-0,442;0,333;-1,33;0,185;0,929;1;0,734
"RALGPS1";591;0,431;0,325;1,33;0,185;0,929;1;0,734
"ORAI3";517;-0,372;0,281;-1,33;0,185;0,929;1;0,733
"CYP27C1";10,3;0,973;0,734;1,33;0,185;0,929;1;0,733
"SLC9A9";231;-0,455;0,343;-1,33;0,185;0,929;1;0,733
"CLEC3A";2,16;-1,57;1,19;-1,33;0,185;NA;1;0,733
"RCCD1";364;-0,307;0,231;-1,33;0,185;0,929;1;0,733
"RDH11";3090;0,431;0,325;1,33;0,185;0,929;1;0,733
"AC004830.1";9,27;1,02;0,768;1,33;0,185;0,929;1;0,733
"BCL2L2-PABPN1";45,2;0,584;0,441;1,33;0,185;0,929;1;0,733
"ERI3-IT1";1,5;-1,86;1,4;-1,33;0,185;NA;1;0,733
"AC243772.2";11,5;0,964;0,727;1,33;0,185;0,929;1;0,733
"LPCAT2";480;0,381;0,288;1,33;0,185;0,929;1;0,733
"FZD10";124;0,555;0,419;1,33;0,185;0,929;1;0,733
"ACO1";880;0,377;0,285;1,33;0,185;0,929;1;0,733
"KIAA0586";240;0,458;0,345;1,33;0,185;0,929;1;0,733
"MAGT1";2860;0,316;0,239;1,33;0,185;0,929;1;0,732
"BATF2";136;-0,571;0,431;-1,32;0,185;0,929;1;0,732
"AC090587.2";19,6;0,768;0,58;1,32;0,185;0,929;1;0,732
"AC006059.2";17,6;2,03;1,53;1,32;0,185;0,929;1;0,732
"CHST8";7,46;-1,26;0,949;-1,32;0,185;0,929;1;0,732
"RNF223";53,9;-0,527;0,398;-1,32;0,185;0,929;1;0,732
"AC012065.4";6,57;-1,25;0,944;-1,32;0,185;0,929;1;0,732
"NWD2";1,42;2,61;1,97;1,32;0,185;NA;1;0,732
"ZNF550";373;0,344;0,26;1,32;0,185;0,929;1;0,732
"PIK3CG";167;-0,62;0,468;-1,32;0,185;0,929;1;0,732
"BRINP3";135;0,553;0,418;1,32;0,185;0,929;1;0,732
"SH3RF3";125;-0,384;0,29;-1,32;0,186;0,929;1;0,732
"ERVK9-11";90,9;0,415;0,314;1,32;0,186;0,929;1;0,731
"DET1";253;0,303;0,229;1,32;0,186;0,929;1;0,731
"STX7";1480;-0,354;0,267;-1,32;0,186;0,929;1;0,731
"SRCIN1";299;0,533;0,403;1,32;0,186;0,929;1;0,731
"HRH2";109;-0,595;0,45;-1,32;0,186;0,929;1;0,731
"LINC01376";14,1;0,84;0,635;1,32;0,186;0,929;1;0,731
"BHLHE40-AS1";60,7;-0,494;0,374;-1,32;0,186;0,929;1;0,731
"WASF1";72;0,525;0,397;1,32;0,186;0,929;1;0,731
"AC245884.1";0,965;-2,21;1,67;-1,32;0,186;NA;1;0,731
"AC139887.1";3,27;1,35;1,02;1,32;0,186;0,929;1;0,731
"TLX1";548;0,603;0,456;1,32;0,186;0,929;1;0,731
"DSG1";22,8;0,984;0,744;1,32;0,186;0,929;1;0,731
"DMD";1190;0,398;0,301;1,32;0,186;0,929;1;0,731
"ZNF827";781;0,515;0,389;1,32;0,186;0,929;1;0,73
"NR1H2";2110;-0,355;0,269;-1,32;0,186;0,929;1;0,73
"BTK";370;-0,521;0,394;-1,32;0,186;0,929;1;0,73
"PRICKLE1";460;-0,356;0,27;-1,32;0,186;0,929;1;0,73
"CSNK2A1";2280;0,307;0,232;1,32;0,186;0,929;1;0,73
"LINC-ROR";4,58;-1,28;0,965;-1,32;0,186;0,929;1;0,73
"TRPC6";27,1;-0,81;0,613;-1,32;0,187;0,929;1;0,729
"AL162231.4";16,5;-0,659;0,499;-1,32;0,187;0,929;1;0,729
"LINC02535";2,33;1,5;1,14;1,32;0,187;NA;1;0,729
"AC073896.5";1,16;-2,46;1,86;-1,32;0,187;NA;1;0,729
"AC022107.1";59,8;0,397;0,301;1,32;0,187;0,929;1;0,729
"OVCA2";552;-0,475;0,36;-1,32;0,187;0,929;1;0,729
"AC093496.1";8,5;0,879;0,665;1,32;0,187;0,929;1;0,729
"MIR320B2";1,01;2,44;1,85;1,32;0,187;NA;1;0,729
"CRYBA4";5,94;-0,899;0,681;-1,32;0,187;0,929;1;0,729
"USF1";1430;-0,297;0,225;-1,32;0,187;0,929;1;0,729
"CRYBG3";652;0,54;0,409;1,32;0,187;0,929;1;0,729
"AC131212.3";87;-0,498;0,377;-1,32;0,187;0,929;1;0,728
"UFL1";1290;0,496;0,376;1,32;0,187;0,929;1;0,728
"AC026469.1";2,29;1,6;1,22;1,32;0,187;NA;1;0,728
"ZMYM5";255;0,439;0,332;1,32;0,187;0,929;1;0,728
"CRHBP";33,5;0,614;0,465;1,32;0,187;0,929;1;0,728
"RN7SL587P";3,04;-1,33;1,01;-1,32;0,187;0,929;1;0,728
"AC006449.6";137;-0,461;0,349;-1,32;0,187;0,929;1;0,728
"LSMEM2";4,93;-1,14;0,867;-1,32;0,187;0,929;1;0,728
"PGF";369;-0,469;0,355;-1,32;0,187;0,929;1;0,728
"APH1B";706;0,344;0,26;1,32;0,187;0,929;1;0,728
"CYP2S1";105;-0,543;0,412;-1,32;0,187;0,929;1;0,728
"CXCL17";5040;-0,51;0,387;-1,32;0,187;0,929;1;0,727
"TBC1D10A";870;-0,389;0,295;-1,32;0,187;0,929;1;0,727
"R3HDM4";1710;-0,338;0,256;-1,32;0,187;0,929;1;0,727
"ARHGAP12";1690;0,528;0,4;1,32;0,187;0,929;1;0,727
"ADAMTS4";77,1;-0,651;0,494;-1,32;0,187;0,929;1;0,727
"SIM2";78;0,701;0,532;1,32;0,187;0,929;1;0,727
"GPR63";49,7;0,498;0,377;1,32;0,187;0,929;1;0,727
"SNRPC";1190;-0,386;0,293;-1,32;0,187;0,929;1;0,727
"AC022087.1";0,965;-3,42;2,6;-1,32;0,187;NA;1;0,727
"SPATA7";158;0,51;0,387;1,32;0,187;0,929;1;0,727
"SFTA1P";3,71;1,71;1,3;1,32;0,187;0,929;1;0,727
"GRHL2";948;0,452;0,343;1,32;0,188;0,929;1;0,727
"SBNO2";2010;-0,379;0,288;-1,32;0,188;0,929;1;0,727
"NUP214";1040;-0,273;0,208;-1,32;0,188;0,929;1;0,727
"RNF167";2270;-0,275;0,209;-1,32;0,188;0,929;1;0,726
"HTRA2";660;-0,381;0,29;-1,32;0,188;0,929;1;0,726
"RNU2-7P";0,843;3,19;2,42;1,32;0,188;NA;1;0,726
"TRAV22";3,93;-1,19;0,904;-1,32;0,188;0,929;1;0,726
"GAPLINC";5,12;-0,929;0,706;-1,32;0,188;0,929;1;0,726
"AC080013.3";7,26;0,933;0,709;1,32;0,188;0,929;1;0,726
"CMKLR1";521;-0,453;0,344;-1,32;0,188;0,929;1;0,726
"YWHAH";2050;-0,296;0,225;-1,32;0,188;0,929;1;0,726
"CDC14C";9,19;0,864;0,657;1,32;0,188;0,929;1;0,726
"XXYLT1-AS2";19,3;-0,819;0,623;-1,32;0,188;0,929;1;0,726
"SLIT2";628;0,466;0,354;1,32;0,188;0,929;1;0,725
"AC092111.1";207;0,331;0,251;1,32;0,188;0,929;1;0,725
"ZC3HC1";223;0,297;0,226;1,32;0,188;0,929;1;0,725
"MTMR4";1140;0,4;0,304;1,32;0,188;0,929;1;0,725
"EIF2S3";3610;0,271;0,206;1,32;0,188;0,929;1;0,725
"EIF2S3B";2,61;2,33;1,77;1,32;0,188;NA;1;0,725
"C1GALT1";967;0,486;0,369;1,32;0,188;0,929;1;0,725
"TM9SF2";8930;0,406;0,308;1,32;0,188;0,929;1;0,725
"CYP2A6";3,91;1,28;0,971;1,32;0,188;0,929;1;0,725
"RPL18";26900;-0,498;0,379;-1,32;0,188;0,929;1;0,725
"MTPAP";402;0,383;0,291;1,32;0,188;0,929;1;0,725
"NRIP2";190;-0,608;0,462;-1,32;0,188;0,929;1;0,725
"PRSS23";7030;0,55;0,418;1,32;0,188;0,929;1;0,725
"CDC14B";531;0,275;0,209;1,32;0,188;0,929;1;0,725
"ZNF764";223;-0,26;0,198;-1,31;0,189;0,929;1;0,725
"MB";2100;0,816;0,621;1,31;0,189;0,929;1;0,724
"VILL";395;-0,299;0,227;-1,31;0,189;0,929;1;0,724
"PFDN6";929;-0,43;0,327;-1,31;0,189;0,929;1;0,724
"TRIM33";1220;0,381;0,29;1,31;0,189;0,929;1;0,724
"FDXR";190;-0,376;0,286;-1,31;0,189;0,929;1;0,724
"TYSND1";654;-0,301;0,229;-1,31;0,189;0,929;1;0,724
"AC079331.2";20,1;-0,641;0,488;-1,31;0,189;0,929;1;0,724
"BX088651.2";8,16;1,38;1,05;1,31;0,189;0,929;1;0,724
"VWA2";58,5;0,635;0,484;1,31;0,189;0,929;1;0,724
"ZRANB2";2340;0,448;0,341;1,31;0,189;0,929;1;0,724
"IGKV2-40";366;-1,53;1,16;-1,31;0,189;0,929;1;0,724
"KCNH4";4,84;-0,979;0,746;-1,31;0,189;0,929;1;0,724
"AC099518.1";0,864;-2,84;2,16;-1,31;0,189;NA;1;0,723
"NECTIN3";216;0,399;0,304;1,31;0,189;0,929;1;0,723
"CLSTN2";133;0,608;0,463;1,31;0,189;0,929;1;0,723
"AL360012.1";3,38;2,29;1,75;1,31;0,189;0,929;1;0,723
"SAC3D1";277;-0,412;0,314;-1,31;0,189;0,929;1;0,723
"FBXL17";611;0,298;0,227;1,31;0,189;0,929;1;0,723
"AC073621.1";1,96;1,79;1,36;1,31;0,189;NA;1;0,723
"AL118516.1";186;0,489;0,373;1,31;0,189;0,929;1;0,723
"TMSB15B";68,6;-0,493;0,376;-1,31;0,189;0,929;1;0,723
"RAB7B";185;-0,345;0,263;-1,31;0,189;0,929;1;0,722
"AC020917.3";16;-0,661;0,504;-1,31;0,19;0,929;1;0,722
"SCRN1";2020;-0,282;0,215;-1,31;0,19;0,929;1;0,722
"PTGS1";291;-0,293;0,224;-1,31;0,19;0,929;1;0,722
"AC008840.1";7,59;1,11;0,843;1,31;0,19;0,929;1;0,722
"AC005154.5";1,72;2,98;2,28;1,31;0,19;NA;1;0,722
"SSNA1";1610;-0,43;0,328;-1,31;0,19;0,929;1;0,722
"COQ8B";676;-0,369;0,282;-1,31;0,19;0,929;1;0,722
"AKAP8";1020;0,314;0,239;1,31;0,19;0,929;1;0,722
"STX17-AS1";46,2;0,629;0,48;1,31;0,19;0,929;1;0,722
"AL513523.1";1,17;-2,15;1,64;-1,31;0,19;NA;1;0,722
"AC131097.2";19,3;1,89;1,44;1,31;0,19;0,929;1;0,722
"AC008676.3";3,09;-1,65;1,26;-1,31;0,19;0,929;1;0,722
"ZKSCAN1";4270;0,397;0,303;1,31;0,19;0,929;1;0,722
"AL133520.1";12,4;-0,643;0,49;-1,31;0,19;0,929;1;0,721
"AL356273.2";1,8;1,53;1,17;1,31;0,19;NA;1;0,721
"PLEKHF2";669;-0,542;0,413;-1,31;0,19;0,929;1;0,721
"CIP2A";42,9;-0,683;0,521;-1,31;0,19;0,929;1;0,721
"SSR4";23500;-0,455;0,347;-1,31;0,19;0,929;1;0,721
"AL079343.1";2,53;1,63;1,25;1,31;0,19;NA;1;0,721
"RNF157";135;-0,512;0,391;-1,31;0,19;0,929;1;0,721
"AC078795.2";2,07;-4,55;3,48;-1,31;0,19;NA;1;0,721
"AC048338.1";4,37;-4,55;3,48;-1,31;0,19;0,929;1;0,721
"AC008537.2";4,28;1,2;0,919;1,31;0,19;0,929;1;0,721
"AC012317.1";17,2;0,852;0,651;1,31;0,19;0,929;1;0,721
"AC135050.7";46;-0,426;0,325;-1,31;0,19;0,929;1;0,721
"Z98752.4";1,88;-2,06;1,57;-1,31;0,19;NA;1;0,721
"AC007923.1";1,88;1,76;1,34;1,31;0,19;NA;1;0,72
"NTMT1";627;-0,372;0,284;-1,31;0,19;0,929;1;0,72
"C7orf31";158;0,358;0,273;1,31;0,19;0,929;1;0,72
"RBM17";1710;0,338;0,258;1,31;0,19;0,929;1;0,72
"NCR1";9,17;-1,02;0,782;-1,31;0,19;0,929;1;0,72
"TTC39A";953;0,628;0,48;1,31;0,191;0,929;1;0,72
"AC010655.2";5,71;-1,13;0,867;-1,31;0,191;0,929;1;0,72
"GPANK1";523;-0,421;0,322;-1,31;0,191;0,929;1;0,72
"MBTPS2";368;0,352;0,269;1,31;0,191;0,929;1;0,72
"AC000123.2";14,1;0,819;0,626;1,31;0,191;0,929;1;0,72
"SLC13A3";305;0,588;0,45;1,31;0,191;0,929;1;0,72
"AL161935.3";6,52;-0,971;0,742;-1,31;0,191;0,929;1;0,72
"AC020558.2";16,3;-0,549;0,42;-1,31;0,191;0,929;1;0,72
"GADD45GIP1";1980;-0,514;0,393;-1,31;0,191;0,929;1;0,72
"SHOX";11,5;-1,11;0,849;-1,31;0,191;0,929;1;0,719
"ZYX";1790;-0,424;0,324;-1,31;0,191;0,929;1;0,719
"SNORA24";0,949;3,48;2,66;1,31;0,191;NA;1;0,719
"MPZL1";5010;0,431;0,329;1,31;0,191;0,929;1;0,719
"EFCAB12";49,1;0,649;0,496;1,31;0,191;0,929;1;0,719
"AC092802.2";12,5;0,879;0,672;1,31;0,191;0,929;1;0,719
"WDR45B";3270;0,296;0,226;1,31;0,191;0,929;1;0,719
"AC007038.1";26,2;0,538;0,412;1,31;0,191;0,929;1;0,719
"ARV1";649;0,33;0,253;1,31;0,191;0,929;1;0,719
"KCNG3";2,59;-1,65;1,26;-1,31;0,191;NA;1;0,719
"RAVER2";1500;0,455;0,348;1,31;0,191;0,929;1;0,719
"VPS33B-DT";15,3;0,699;0,535;1,31;0,191;0,929;1;0,719
"THOC1";558;0,457;0,35;1,31;0,191;0,929;1;0,718
"AL358113.1";9,37;-1,34;1,02;-1,31;0,191;0,929;1;0,718
"AC127526.1";3,19;1,32;1,01;1,31;0,191;0,929;1;0,718
